"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"70",70,"START","","EdbisOmluknfa","standard","RR",0,"male","transparent","2018-08-15 18:24:45","0000-00-00 00:00:00",0,"",0,0,0
"71",71,"END","00071fGsSw","inulsmOfEdbka","dialect","RR",0,"male","opaque","2018-08-15 20:31:53","2018-08-15 21:07:44",55,"m",4,3,4
"72",72,"START","","kbnaEdsuiflOm","standard","RR",1,"female","transparent","2018-08-16 13:21:50","0000-00-00 00:00:00",0,"",0,0,0
"73",73,"END","00073Aimgo","aimkuElnsbfdO","dialect","RR",0,"male","opaque","2018-08-16 14:28:33","2018-08-16 15:11:13",30,"f",5,2,4
"74",74,"R_TR11","","kuslEnifbmadO","dialect","RR",0,"male","opaque","2018-08-16 14:30:07","0000-00-00 00:00:00",21,"m",5,0,0
"75",75,"END","00075wJSCn","dEnabfuksOlmi","dialect","RR",0,"male","opaque","2018-08-16 14:37:37","2018-08-16 15:46:01",36,"f",5,4,5
"76",76,"END","00076NfFUb","nkabOflEmusid","dialect","RR",0,"male","opaque","2018-08-16 14:41:41","2018-08-16 15:39:19",46,"f",5,5,5
"77",77,"END","00077jOnzh","EnmislkabdfuO","standard","RR",0,"male","opaque","2018-08-17 13:27:47","2018-08-17 14:32:02",21,"m",5,4,5
"78",78,"END","00078IbNBR","kdlinufEbmsOa","standard","RR",0,"male","opaque","2018-08-17 13:33:20","2018-08-17 14:20:00",19,"f",5,4,4
"79",79,"SCRIPT","","EidnlOfsakmbu","standard","RR",0,"male","opaque","2018-08-17 13:47:06","0000-00-00 00:00:00",19,"m",5,0,0
"80",80,"END","00080WYImH","aEinlOufdbmks","standard","RR",0,"male","opaque","2018-08-17 13:48:06","2018-08-17 14:46:44",57,"f",5,5,5
