trial_id,participant_number,session_trial_id,section_trial_id,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,task,block,picture_id,word_id,test_words,dialect_words,target_length,exposure_count,target,primary_coder_response,primary_coder_response_length,primary_max_word_length,primary_coder_correct,primary_coder_nLED,secondary_coder_response,secondary_coder_response_length,secondary_max_word_length,secondary_coder_correct,secondary_coder_nLED,lenient_max_word_length,lenient_correct,lenient_nLED,stringent_max_word_length,stringent_correct,stringent_nLED,submission_time,running_time
943,3,69,9,dialect,opaque,picture,RR,male,R,TEST,241,22,training_word,no_shift_word,5,5,nOflE,naflE,5,5,0,0.2,naflE,5,5,0,0.2,5,0,0.2,5,0,0.2,10s,5196s (~1.44 hours)
951,3,70,10,dialect,opaque,picture,RR,male,R,TEST,76,12,testing_word,can_shift_word,4,0,skub,skub,4,4,1,0,skub,4,4,1,0,4,1,0,4,1,0,24s,5220s (~1.45 hours)
954,3,71,11,dialect,opaque,picture,RR,male,R,TEST,83,10,training_word,no_shift_word,4,5,blim,blEm,4,4,0,0.25,blEm,4,4,0,0.25,4,0,0.25,4,0,0.25,17s,5237s (~1.45 hours)
959,3,72,12,dialect,opaque,picture,RR,male,R,TEST,97,15,training_word,shifted_word,4,5,balf,bOlf,4,4,0,0.25,balf,4,4,1,0,4,1,0,4,0,0.25,11s,5248s (~1.46 hours)
965,3,73,13,dialect,opaque,picture,RR,male,R,TEST,215,42,testing_word,can_shift_word,6,0,flabun,flabun,6,6,1,0,flabun,6,6,1,0,6,1,0,6,1,0,18s,5266s (~1.46 hours)
969,3,74,14,dialect,opaque,picture,RR,male,R,TEST,168,17,training_word,no_shift_word,4,5,mOls,mOls,4,4,1,0,mOls,4,4,1,0,4,1,0,4,1,0,12s,5278s (~1.47 hours)
976,3,75,15,dialect,opaque,picture,RR,male,R,TEST,7,8,training_word,shifted_word,4,5,snid,snid,4,4,1,0,snid,4,4,1,0,4,1,0,4,1,0,19s,5297s (~1.47 hours)
981,3,76,16,dialect,opaque,picture,RR,male,R,TEST,86,28,testing_word,can_shift_word,5,0,luskO,luska,5,5,0,0.2,luska,5,5,0,0.2,5,0,0.2,5,0,0.2,21s,5318s (~1.48 hours)
987,3,77,17,dialect,opaque,picture,RR,male,R,TEST,179,5,training_word,shifted_word,3,5,nal,nOl,3,3,0,0.333333,nal,3,3,1,0,3,1,0,3,0,0.333333,21s,5339s (~1.48 hours)
994,3,78,18,dialect,opaque,picture,RR,male,R,TEST,115,32,training_word,shifted_word,5,5,smadu,smOldu,6,6,0,0.333333,smadu,5,5,1,0,5,1,0,6,0,0.333333,17s,5356s (~1.49 hours)
1001,3,79,19,dialect,opaque,picture,RR,male,R,TEST,94,40,training_word,shifted_word,6,5,flEsOd,flEsad,6,6,0,0.166667,flEsad,6,6,0,0.166667,6,0,0.166667,6,0,0.166667,20s,5376s (~1.49 hours)
1006,3,80,20,dialect,opaque,picture,RR,male,R,TEST,91,29,training_word,no_shift_word,5,5,smiba,smiba,5,5,1,0,smiba,5,5,1,0,5,1,0,5,1,0,12s,5388s (~1.5 hours)
1012,3,81,21,dialect,opaque,picture,RR,male,R,TEST,155,2,training_word,no_shift_word,3,5,fub,fub,3,3,1,0,fub,3,3,1,0,3,1,0,3,1,0,26s,5414s (~1.5 hours)
1018,3,82,22,dialect,opaque,picture,RR,male,R,TEST,203,38,training_word,no_shift_word,6,5,snibOl,snibOl,6,6,1,0,snibOl,6,6,1,0,6,1,0,6,1,0,16s,5430s (~1.51 hours)
1021,3,83,23,dialect,opaque,picture,RR,male,R,TEST,53,20,training_word,no_shift_word,4,5,nifs,nis,3,4,0,0.25,nifs,4,4,1,0,4,1,0,4,0,0.25,19s,5449s (~1.51 hours)
1027,3,84,24,dialect,opaque,picture,RR,male,R,TEST,122,6,training_word,no_shift_word,3,5,lOm,lam,3,3,0,0.333333,lam,3,3,0,0.333333,3,0,0.333333,3,0,0.333333,12s,5461s (~1.52 hours)
1032,3,85,25,dialect,opaque,picture,RR,male,R,TEST,257,19,testing_word,can_shift_word,4,0,suld,suld,4,4,1,0,suld,4,4,1,0,4,1,0,4,1,0,25s,5486s (~1.52 hours)
1037,3,86,26,dialect,opaque,picture,RR,male,R,TEST,73,4,training_word,no_shift_word,3,5,mif,mif,3,3,1,0,nif,3,3,0,0.333333,3,1,0,3,0,0.333333,14s,5500s (~1.53 hours)
1041,3,87,27,dialect,opaque,picture,RR,male,R,TEST,182,9,training_word,no_shift_word,4,5,snOf,snaf,4,4,0,0.25,snaf,4,4,0,0.25,4,0,0.25,4,0,0.25,11s,5511s (~1.53 hours)
1047,3,88,28,dialect,opaque,picture,RR,male,R,TEST,211,31,testing_word,can_shift_word,5,0,klufE,klufE,5,5,1,0,klufE,5,5,1,0,5,1,0,5,1,0,12s,5523s (~1.53 hours)
1059,3,89,29,dialect,opaque,picture,RR,male,R,TEST,180,23,testing_word,can_shift_word,5,0,dikla,dikla,5,5,1,0,dikla,5,5,1,0,5,1,0,5,1,0,54s,5577s (~1.55 hours)
1064,3,90,30,dialect,opaque,picture,RR,male,R,TEST,224,30,training_word,shifted_word,5,5,skEfi,sifi,4,5,0,0.4,sifi,4,5,0,0.4,5,0,0.4,5,0,0.4,14s,5591s (~1.55 hours)
1073,3,91,31,dialect,opaque,picture,RR,male,R,TEST,77,34,training_word,no_shift_word,5,5,flidu,flibu,5,5,0,0.2,flibu,5,5,0,0.2,5,0,0.2,5,0,0.2,27s,5618s (~1.56 hours)
1080,3,92,32,dialect,opaque,picture,RR,male,R,TEST,237,25,training_word,shifted_word,5,5,dasmu,dasmu,5,5,1,0,dasmu,5,5,1,0,5,1,0,5,1,0,23s,5641s (~1.57 hours)
1087,3,93,33,dialect,opaque,picture,RR,male,R,TEST,250,3,testing_word,can_shift_word,3,0,mab,mab,3,3,1,0,mab,3,3,1,0,3,1,0,3,1,0,26s,5667s (~1.57 hours)
1095,3,94,34,dialect,opaque,picture,RR,male,R,TEST,104,41,training_word,no_shift_word,6,5,slinab,slinub,6,6,0,0.166667,slinab,6,6,1,0,6,1,0,6,0,0.166667,28s,5695s (~1.58 hours)
1102,3,95,35,dialect,opaque,picture,RR,male,R,TEST,81,24,training_word,no_shift_word,5,5,dEsna,dEsmO,5,5,0,0.4,dEsmO,5,5,0,0.4,5,0,0.4,5,0,0.4,30s,5725s (~1.59 hours)
1105,3,96,36,dialect,opaque,picture,RR,male,R,TEST,228,35,training_word,shifted_word,5,5,slOku,slOku,5,5,1,0,slOku,5,5,1,0,5,1,0,5,1,0,13s,5738s (~1.59 hours)
1114,3,97,37,dialect,opaque,picture,RR,male,R,TEST,185,21,training_word,shifted_word,4,5,nEsk,nEsk,4,4,1,0,nEsk,4,4,1,0,4,1,0,4,1,0,40s,5778s (~1.6 hours)
1118,3,98,38,dialect,opaque,picture,RR,male,R,TEST,72,16,testing_word,can_shift_word,4,0,dOlk,dalk,4,4,0,0.25,dalk,4,4,0,0.25,4,0,0.25,4,0,0.25,20s,5798s (~1.61 hours)
1122,3,99,39,dialect,opaque,picture,RR,male,R,TEST,236,39,testing_word,can_shift_word,6,0,klusim,klusim,6,6,1,0,klusim,6,6,1,0,6,1,0,6,1,0,23s,5821s (~1.62 hours)
1125,3,100,40,dialect,opaque,picture,RR,male,R,TEST,242,11,training_word,shifted_word,4,5,blaf,blaf,4,4,1,0,blaf,4,4,1,0,4,1,0,4,1,0,13s,5834s (~1.62 hours)
1128,3,101,41,dialect,opaque,picture,RR,male,R,TEST,167,18,training_word,no_shift_word,4,5,fOns,bans,4,4,0,0.5,bans,4,4,0,0.5,4,0,0.5,4,0,0.5,12s,5846s (~1.62 hours)
1135,3,102,42,dialect,opaque,picture,RR,male,R,TEST,162,26,training_word,shifted_word,5,5,kublE,kublE,5,5,1,0,kublE,5,5,1,0,5,1,0,5,1,0,30s,5876s (~1.63 hours)
6,6,1,1,dialect,opaque,picture,RR,male,R,TR1,47,1,training_word,shifted_word,3,1,nEf,nudla,5,5,0,0.8,nudlE,5,5,0,0.8,5,0,0.8,5,0,0.8,NA,452s (~7.53 minutes)
10,6,2,2,dialect,opaque,picture,RR,male,R,TR1,6,10,training_word,no_shift_word,4,1,blim,dunEm,5,5,0,0.8,dunEm,5,5,0,0.8,5,0,0.8,5,0,0.8,64s (~1.07 minutes),516s (~8.6 minutes)
14,6,3,3,dialect,opaque,picture,RR,male,R,TR1,7,35,training_word,shifted_word,5,1,slOku,snibluf,7,7,0,0.714286,sniblu,6,6,0,0.666667,6,0,0.666667,7,0,0.714286,39s,555s (~9.25 minutes)
16,6,4,4,dialect,opaque,picture,RR,male,R,TR1,155,29,training_word,no_shift_word,5,1,smiba,smE,3,5,0,0.6,smE,3,5,0,0.6,5,0,0.6,5,0,0.6,30s,585s (~9.75 minutes)
19,6,5,5,dialect,opaque,picture,RR,male,R,TR1,77,37,training_word,shifted_word,6,1,blEkus,smindOsi,8,8,0,0.875,sminOsi,7,7,0,0.857143,7,0,0.857143,8,0,0.875,35s,620s (~10.33 minutes)
22,6,6,6,dialect,opaque,picture,RR,male,R,TR1,180,17,training_word,no_shift_word,4,1,mOls,mOlsE,5,5,0,0.2,mOlsE,5,5,0,0.2,5,0,0.2,5,0,0.2,20s,640s (~10.67 minutes)
24,6,7,7,dialect,opaque,picture,RR,male,R,TR1,242,34,training_word,no_shift_word,5,1,flidu,nOlku,5,5,0,0.8,nOlpu,5,5,0,0.8,5,0,0.8,5,0,0.8,25s,665s (~11.08 minutes)
27,6,8,8,dialect,opaque,picture,RR,male,R,TR1,97,24,training_word,no_shift_word,5,1,dEsna,lidE,4,5,0,1,lidE,4,5,0,1,5,0,1,5,0,1,28s,693s (~11.55 minutes)
30,6,9,9,dialect,opaque,picture,RR,male,R,TR1,81,30,training_word,shifted_word,5,1,skEfi,saldE,5,5,0,0.8,saudE,5,5,0,0.8,5,0,0.8,5,0,0.8,28s,721s (~12.02 minutes)
35,6,10,10,dialect,opaque,picture,RR,male,R,TR1,86,25,training_word,shifted_word,5,1,dasmu,balmu,5,5,0,0.4,balmu,5,5,0,0.4,5,0,0.4,5,0,0.4,24s,745s (~12.42 minutes)
39,6,11,1,dialect,opaque,picture,RR,male,R,TR2,77,37,training_word,shifted_word,6,2,blEkus,flaldu,6,6,0,0.833333,fladu,5,6,0,0.666667,6,0,0.666667,6,0,0.833333,NA,808s (~13.47 minutes)
42,6,12,2,dialect,opaque,picture,RR,male,R,TR2,155,29,training_word,no_shift_word,5,2,smiba,smaba,5,5,0,0.2,smalba,6,6,0,0.333333,5,0,0.2,6,0,0.333333,23s,831s (~13.85 minutes)
44,6,13,3,dialect,opaque,picture,RR,male,R,TR2,86,25,training_word,shifted_word,5,2,dasmu,falmu,5,5,0,0.4,falmu,5,5,0,0.4,5,0,0.4,5,0,0.4,33s,864s (~14.4 minutes)
47,6,14,4,dialect,opaque,picture,RR,male,R,TR2,81,30,training_word,shifted_word,5,2,skEfi,smibu,5,5,0,0.8,smibu,5,5,0,0.8,5,0,0.8,5,0,0.8,21s,885s (~14.75 minutes)
51,6,15,5,dialect,opaque,picture,RR,male,R,TR2,180,17,training_word,no_shift_word,4,2,mOls,mal,3,4,0,0.5,mal,3,4,0,0.5,4,0,0.5,4,0,0.5,23s,908s (~15.13 minutes)
55,6,16,6,dialect,opaque,picture,RR,male,R,TR2,6,10,training_word,no_shift_word,4,2,blim,bOlnim,6,6,0,0.333333,bOlmim,6,6,0,0.333333,6,0,0.333333,6,0,0.333333,34s,942s (~15.7 minutes)
