participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
23,standard,opaque,picture,RR,male,20,f,Spanish,2,4,5,2018-08-14T11:54:10Z,2018-08-14T13:23:21Z,5351s (~1.49 hours)
23,standard,opaque,picture,RR,male,20,f,Twi,2,4,5,2018-08-14T11:54:10Z,2018-08-14T13:23:21Z,5351s (~1.49 hours)
24,standard,opaque,picture,RR,male,43,f,Italian,3,4,5,2018-08-14T12:18:25Z,2018-08-14T12:53:24Z,2099s (~34.98 minutes)
24,standard,opaque,picture,RR,male,43,f,Spanish,1,4,5,2018-08-14T12:18:25Z,2018-08-14T12:53:24Z,2099s (~34.98 minutes)
24,standard,opaque,picture,RR,male,43,f,English,5,4,5,2018-08-14T12:18:25Z,2018-08-14T12:53:24Z,2099s (~34.98 minutes)
24,standard,opaque,picture,RR,male,43,f,French,3,4,5,2018-08-14T12:18:25Z,2018-08-14T12:53:24Z,2099s (~34.98 minutes)
25,standard,opaque,picture,RR,male,25,f,English,1,1,3,2018-08-14T12:20:40Z,2018-08-14T12:39:17Z,1117s (~18.62 minutes)
26,standard,opaque,picture,RR,male,59,m,Irish,4,5,5,2018-08-14T12:22:59Z,2018-08-14T13:18:33Z,3334s (~55.57 minutes)
26,standard,opaque,picture,RR,male,59,m,English,5,5,5,2018-08-14T12:22:59Z,2018-08-14T13:18:33Z,3334s (~55.57 minutes)
27,standard,opaque,picture,RR,male,19,f,Chinese,1,4,5,2018-08-14T12:31:58Z,2018-08-14T13:08:22Z,2184s (~36.4 minutes)
27,standard,opaque,picture,RR,male,19,f,English,5,4,5,2018-08-14T12:31:58Z,2018-08-14T13:08:22Z,2184s (~36.4 minutes)
27,standard,opaque,picture,RR,male,19,f,French,1,4,5,2018-08-14T12:31:58Z,2018-08-14T13:08:22Z,2184s (~36.4 minutes)
29,standard,opaque,picture,RR,male,20,f,Tagalog,3,4,5,2018-08-14T12:33:33Z,2018-08-14T13:31:10Z,3457s (~57.62 minutes)
29,standard,opaque,picture,RR,male,20,f,Spanish,2,4,5,2018-08-14T12:33:33Z,2018-08-14T13:31:10Z,3457s (~57.62 minutes)
29,standard,opaque,picture,RR,male,20,f,English,5,4,5,2018-08-14T12:33:33Z,2018-08-14T13:31:10Z,3457s (~57.62 minutes)
31,standard,opaque,picture,RR,male,26,m,Spanish,1,4,5,2018-08-14T12:41:22Z,2018-08-14T13:32:45Z,3083s (~51.38 minutes)
31,standard,opaque,picture,RR,male,26,m,English,5,4,5,2018-08-14T12:41:22Z,2018-08-14T13:32:45Z,3083s (~51.38 minutes)
31,standard,opaque,picture,RR,male,26,m,Irish,1,4,5,2018-08-14T12:41:22Z,2018-08-14T13:32:45Z,3083s (~51.38 minutes)
32,standard,opaque,picture,RR,male,59,m,English,5,5,5,2018-08-14T12:41:46Z,2018-08-14T13:27:15Z,2729s (~45.48 minutes)
