participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
101,dialect,transparent,picture,WR,male,33,m,Spanish,1,5,5,2017-04-27T17:01:49Z,2017-04-27T18:04:26Z,3757s (~1.04 hours)
102,standard,transparent,no_picture,WR,male,27,m,English,4,5,5,2017-04-27T17:03:30Z,2017-04-27T18:38:53Z,5723s (~1.59 hours)
103,dialect,transparent,no_picture,WR,male,43,f,English,5,5,5,2017-04-27T17:03:38Z,2017-04-27T18:00:36Z,3418s (~56.97 minutes)
104,standard,transparent,picture,RW,female,26,f,Italian,2,5,5,2017-04-27T17:05:48Z,2017-04-27T18:06:43Z,3655s (~1.02 hours)
104,standard,transparent,picture,RW,female,26,f,Arabic,1,5,5,2017-04-27T17:05:48Z,2017-04-27T18:06:43Z,3655s (~1.02 hours)
104,standard,transparent,picture,RW,female,26,f,English,5,5,5,2017-04-27T17:05:48Z,2017-04-27T18:06:43Z,3655s (~1.02 hours)
104,standard,transparent,picture,RW,female,26,f,Spanish,1,5,5,2017-04-27T17:05:48Z,2017-04-27T18:06:43Z,3655s (~1.02 hours)
105,dialect,transparent,picture,RW,female,30,f,English,5,4,5,2017-04-27T17:22:56Z,2017-04-27T18:31:28Z,4112s (~1.14 hours)
107,dialect,transparent,no_picture,RW,female,43,f,English,5,4,4,2017-04-27T17:27:48Z,2017-04-27T18:25:01Z,3433s (~57.22 minutes)
108,standard,transparent,picture,WR,female,39,f,English,5,1,5,2017-04-27T17:28:39Z,2017-04-27T18:17:35Z,2936s (~48.93 minutes)
112,standard,transparent,picture,RW,male,23,m,Hindi,5,4,5,2017-04-27T17:47:07Z,2017-04-27T19:21:44Z,5677s (~1.58 hours)
112,standard,transparent,picture,RW,male,23,m,English,4,4,5,2017-04-27T17:47:07Z,2017-04-27T19:21:44Z,5677s (~1.58 hours)
113,dialect,transparent,picture,RW,male,34,m,English,5,5,5,2017-04-27T17:56:29Z,2017-04-27T18:56:36Z,3607s (~1 hours)
113,dialect,transparent,picture,RW,male,34,m,Spanish,2,5,5,2017-04-27T17:56:29Z,2017-04-27T18:56:36Z,3607s (~1 hours)
115,dialect,transparent,no_picture,RW,male,37,m,English,5,5,4,2017-04-27T18:13:34Z,2017-04-27T19:01:10Z,2856s (~47.6 minutes)
117,dialect,transparent,picture,WR,male,29,m,English,5,5,5,2017-04-27T18:33:01Z,2017-04-27T19:21:30Z,2909s (~48.48 minutes)
118,standard,transparent,no_picture,WR,male,24,m,English,5,3,5,2017-04-27T18:46:17Z,2017-04-27T19:21:20Z,2103s (~35.05 minutes)
121,dialect,transparent,picture,RW,female,29,f,Spanish,2,5,5,2017-04-27T19:12:40Z,2017-04-27T21:00:33Z,6473s (~1.8 hours)
121,dialect,transparent,picture,RW,female,29,f,Chinese (Mandarin),1,5,5,2017-04-27T19:12:40Z,2017-04-27T21:00:33Z,6473s (~1.8 hours)
121,dialect,transparent,picture,RW,female,29,f,English,5,5,5,2017-04-27T19:12:40Z,2017-04-27T21:00:33Z,6473s (~1.8 hours)
122,standard,transparent,no_picture,RW,female,32,m,English,5,4,5,2017-04-27T19:20:07Z,2017-04-27T20:27:07Z,4020s (~1.12 hours)
123,dialect,transparent,no_picture,RW,female,59,f,English,5,5,5,2017-04-27T19:39:29Z,2017-04-27T20:42:37Z,3788s (~1.05 hours)
125,dialect,transparent,picture,WR,female,30,m,English,5,5,5,2017-04-27T19:49:06Z,2017-04-27T21:03:34Z,4468s (~1.24 hours)
125,dialect,transparent,picture,WR,female,30,m,Spanish,5,5,5,2017-04-27T19:49:06Z,2017-04-27T21:03:34Z,4468s (~1.24 hours)
127,dialect,transparent,no_picture,WR,female,30,m,English,5,3,5,2017-04-27T20:00:41Z,2017-04-27T21:24:17Z,5016s (~1.39 hours)
128,standard,transparent,picture,RW,male,48,f,English,5,5,5,2017-04-27T20:10:22Z,2017-04-27T21:21:19Z,4257s (~1.18 hours)
129,dialect,transparent,picture,RW,male,21,f,English,5,1,5,2017-04-27T20:11:15Z,2017-04-27T20:47:24Z,2169s (~36.15 minutes)
132,standard,transparent,picture,WR,male,23,m,English,5,5,5,2017-04-27T20:40:15Z,2017-04-27T22:09:50Z,5375s (~1.49 hours)
133,dialect,transparent,picture,WR,male,30,m,English,5,4,4,2017-04-27T20:42:00Z,2017-04-27T22:01:31Z,4771s (~1.33 hours)
134,standard,transparent,no_picture,WR,male,38,f,French,3,5,4,2017-04-27T20:55:44Z,2017-04-27T21:42:11Z,2787s (~46.45 minutes)
134,standard,transparent,no_picture,WR,male,38,f,English,5,5,4,2017-04-27T20:55:44Z,2017-04-27T21:42:11Z,2787s (~46.45 minutes)
134,standard,transparent,no_picture,WR,male,38,f,German,1,5,4,2017-04-27T20:55:44Z,2017-04-27T21:42:11Z,2787s (~46.45 minutes)
134,standard,transparent,no_picture,WR,male,38,f,Spanish ,1,5,4,2017-04-27T20:55:44Z,2017-04-27T21:42:11Z,2787s (~46.45 minutes)
135,dialect,transparent,no_picture,WR,male,25,m,English,5,5,5,2017-04-27T21:06:55Z,2017-04-27T21:44:38Z,2263s (~37.72 minutes)
135,dialect,transparent,no_picture,WR,male,25,m,None,1,5,5,2017-04-27T21:06:55Z,2017-04-27T21:44:38Z,2263s (~37.72 minutes)
136,standard,transparent,picture,RW,female,31,m,English,5,4,4,2017-04-27T21:56:16Z,2017-04-27T22:58:08Z,3712s (~1.03 hours)
139,dialect,transparent,no_picture,RW,female,33,m,English,5,4,5,2017-04-27T22:45:24Z,2017-04-27T23:58:55Z,4411s (~1.23 hours)
141,dialect,transparent,picture,WR,female,28,m,English,5,5,5,2017-04-27T23:12:22Z,2017-04-28T00:15:03Z,3761s (~1.04 hours)
142,standard,transparent,no_picture,WR,female,43,f,English,5,4,4,2017-04-28T00:23:39Z,2017-04-28T01:48:49Z,5110s (~1.42 hours)
143,dialect,transparent,no_picture,WR,female,51,m,English,5,5,5,2017-04-28T01:07:14Z,2017-04-28T02:10:58Z,3824s (~1.06 hours)
147,dialect,transparent,no_picture,RW,male,48,f,Spanish,1,4,5,2017-05-01T13:24:05Z,2017-05-01T14:57:29Z,5604s (~1.56 hours)
147,dialect,transparent,no_picture,RW,male,48,f,English,5,4,5,2017-05-01T13:24:05Z,2017-05-01T14:57:29Z,5604s (~1.56 hours)
148,dialect,transparent,no_picture,RW,male,39,f,English,5,4,5,2017-05-01T13:50:45Z,2017-05-01T14:49:33Z,3528s (~58.8 minutes)
151,dialect,transparent,no_picture,RW,male,29,f,English,5,4,5,2017-05-01T14:42:52Z,2017-05-01T15:46:12Z,3800s (~1.06 hours)
152,dialect,transparent,no_picture,RW,male,54,f,English,5,5,5,2017-05-01T15:54:16Z,2017-05-01T16:55:12Z,3656s (~1.02 hours)
153,dialect,transparent,no_picture,RW,male,42,f,English,5,4,5,2017-05-01T16:06:59Z,2017-05-01T17:12:11Z,3912s (~1.09 hours)
155,dialect,transparent,no_picture,RW,male,27,m,English,5,5,5,2017-05-01T16:27:26Z,2017-05-01T17:14:59Z,2853s (~47.55 minutes)
157,standard,transparent,picture,WR,female,36,m,English,5,5,4,2017-05-02T17:02:51Z,2017-05-02T18:12:24Z,4173s (~1.16 hours)
158,standard,transparent,picture,WR,female,28,m,English,5,4,5,2017-05-02T17:21:20Z,2017-05-02T18:07:31Z,2771s (~46.18 minutes)
159,standard,transparent,picture,WR,female,26,m,English,5,3,5,2017-05-02T18:59:09Z,2017-05-02T20:00:28Z,3679s (~1.02 hours)
160,standard,transparent,picture,WR,female,25,m,English,5,4,3,2017-05-02T20:53:14Z,2017-05-02T21:39:25Z,2771s (~46.18 minutes)
162,standard,transparent,no_picture,RW,male,63,f,English,5,5,5,2017-05-03T14:32:03Z,2017-05-03T15:21:04Z,2941s (~49.02 minutes)
163,standard,transparent,no_picture,RW,male,38,m,English,5,3,4,2017-05-03T15:56:34Z,2017-05-03T16:47:18Z,3044s (~50.73 minutes)
164,standard,transparent,no_picture,RW,male,30,m,English,5,3,5,2017-05-03T16:02:58Z,2017-05-03T16:51:25Z,2907s (~48.45 minutes)
165,standard,transparent,no_picture,RW,male,40,m,English,5,5,5,2017-05-03T16:48:23Z,2017-05-03T18:30:03Z,6100s (~1.69 hours)
