"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"77",77,"END","00077lYrFT","EbmdfkulsiaOn","dialect","WR",1,"female","transparent","2017-04-20 17:47:36","2017-04-20 18:32:30",24,"m",5,1,5
"78",78,"START","","ksnfObmliaEud","dialect","WR",0,"male","transparent","2017-04-20 18:38:05","0000-00-00 00:00:00",0,"",0,0,0
"79",79,"END","00079Xnzmx","OlnidbskEmfua","dialect","WR",0,"female","transparent","2017-04-20 19:23:56","2017-04-20 20:10:50",44,"f",5,5,5
"80",80,"START","","flmsiObkuEdan","standard","RW",1,"male","transparent","2017-04-22 11:31:47","0000-00-00 00:00:00",0,"",0,0,0
"81",81,"END","00081bSjeo","OsknmafEildub","standard","RW",1,"female","transparent","2017-04-25 16:34:04","2017-04-25 16:44:27",999,"o",1,5,5
"82",82,"START","","likfaduEmnObs","standard","RW",0,"male","transparent","2017-04-26 15:43:23","0000-00-00 00:00:00",0,"",0,0,0
"83",83,"EXPOSURE1","","skdnfmaOiuEbl","dialect","RW",0,"male","transparent","2017-04-26 15:43:58","0000-00-00 00:00:00",999,"o",5,0,0
"84",84,"START","","ElmbOufkasdin","standard","WR",1,"male","transparent","2017-04-26 15:44:50","0000-00-00 00:00:00",0,"",0,0,0
"85",85,"START","","skimdabfEluOn","dialect","WR",1,"male","transparent","2017-04-26 15:45:17","0000-00-00 00:00:00",0,"",0,0,0
"86",86,"START","","umkanflEbsOid","standard","WR",0,"male","transparent","2017-04-26 15:45:28","0000-00-00 00:00:00",0,"",0,0,0
"87",87,"START","","luEfkOmdisnba","dialect","WR",0,"male","transparent","2017-04-26 15:45:47","0000-00-00 00:00:00",0,"",0,0,0
"88",88,"EXPOSURE1","","bnlEmisuOfadk","standard","RW",1,"female","transparent","2017-04-26 15:46:05","0000-00-00 00:00:00",999,"o",5,0,0
"89",89,"END","00089HVcGS","EkdOlfmiunasb","dialect","RW",1,"female","transparent","2017-04-26 16:30:23","2017-04-26 17:49:57",30,"m",5,4,5
"90",90,"END","00090pkuZO","lfukmsaEdnbiO","standard","RW",0,"female","transparent","2017-04-26 17:13:07","2017-04-26 18:20:09",24,"m",5,5,5
"91",91,"END","00091gTVFB","dukElsbmOafni","dialect","RW",0,"female","transparent","2017-04-26 17:25:07","2017-04-26 18:34:05",59,"m",5,3,5
"92",92,"END","00092JEOtS","OmdnEikuasbfl","standard","WR",1,"female","transparent","2017-04-26 17:38:46","2017-04-26 18:29:01",29,"m",5,3,5
"93",93,"END","00093ZFXjA","ubfamldkEsOin","dialect","WR",1,"female","transparent","2017-04-26 17:55:54","2017-04-26 19:04:49",50,"m",5,5,5
"94",94,"END","00094ktwap","snkaElmdfbOui","standard","WR",0,"female","transparent","2017-04-26 18:13:07","2017-04-26 18:58:12",33,"m",5,4,5
"95",95,"END","00095AiqBb","OEmflskunadbi","dialect","WR",0,"female","transparent","2017-04-26 19:41:45","2017-04-26 20:30:23",49,"f",5,5,5
"96",96,"END","00096pnjyI","dafiOEsbnkuml","standard","RW",1,"male","transparent","2017-04-26 20:45:23","2017-04-26 21:31:11",40,"f",5,1,4
"97",97,"END","00097iMwpR","kOniEbldfausm","dialect","RW",1,"male","transparent","2017-04-26 22:17:25","2017-04-26 23:44:28",26,"m",5,4,5
"98",98,"START","","nfkmlbiaduEsO","standard","RW",0,"male","transparent","2017-04-27 03:06:06","0000-00-00 00:00:00",0,"",0,0,0
"99",99,"START","","ulOkifEmdansb","dialect","RW",0,"male","transparent","2017-04-27 03:06:06","0000-00-00 00:00:00",0,"",0,0,0
"100",100,"END","00100IDTML","libnkmEfusaOd","standard","WR",1,"male","transparent","2017-04-27 16:59:29","2017-04-27 17:27:49",37,"f",5,5,5
"101",101,"END","00101XxsQD","EnmilakbfsudO","dialect","WR",1,"male","transparent","2017-04-27 17:01:49","2017-04-27 18:04:26",33,"m",5,5,5
"102",102,"END","00102zCZwv","umkbladsOiEfn","standard","WR",0,"male","transparent","2017-04-27 17:03:30","2017-04-27 18:38:53",27,"m",4,5,5
"103",103,"END","00103WFHLu","bnmOfuaksdlEi","dialect","WR",0,"male","transparent","2017-04-27 17:03:38","2017-04-27 18:00:36",43,"f",5,5,5
"104",104,"END","00104VPJeM","ukElfOmanbisd","standard","RW",1,"female","transparent","2017-04-27 17:05:48","2017-04-27 18:06:43",26,"f",5,5,5
"105",105,"END","00105Fkyiu","nmsdElaiObkuf","dialect","RW",1,"female","transparent","2017-04-27 17:22:56","2017-04-27 18:31:28",30,"f",5,4,5
"106",106,"INSTR_R_TR1","","aidmOElkbnfus","standard","RW",0,"female","transparent","2017-04-27 17:26:08","0000-00-00 00:00:00",25,"m",5,0,0
"107",107,"END","00107EJKCn","mOklfunaEsidb","dialect","RW",0,"female","transparent","2017-04-27 17:27:48","2017-04-27 18:25:01",43,"f",5,4,4
"108",108,"END","00108xomhs","iEnkafdlObmus","standard","WR",1,"female","transparent","2017-04-27 17:28:39","2017-04-27 18:17:35",39,"f",5,1,5
"109",109,"SCRIPT","","nkbulidmsEaOf","dialect","WR",1,"female","transparent","2017-04-27 17:29:56","0000-00-00 00:00:00",24,"f",5,0,0
"110",110,"END","00110tLGcv","bidOuslnEmfak","standard","WR",0,"female","transparent","2017-04-27 17:37:06","2017-04-27 19:49:32",28,"f",5,4,3
"111",111,"DEMOGRAPHICS","","ndsEiabmOlfku","dialect","WR",0,"female","transparent","2017-04-27 17:44:44","0000-00-00 00:00:00",0,"",0,0,0
"112",112,"END","00112sCqyP","iafnmusldOkEb","standard","RW",1,"male","transparent","2017-04-27 17:47:07","2017-04-27 19:21:44",23,"m",4,4,5
"113",113,"END","00113MIXqv","nbEmOuiaklsfd","dialect","RW",1,"male","transparent","2017-04-27 17:56:29","2017-04-27 18:56:36",34,"m",5,5,5
"114",114,"R_TR1","","sEmadknibulfO","standard","RW",0,"male","transparent","2017-04-27 18:05:33","0000-00-00 00:00:00",28,"f",5,0,0
"115",115,"END","00115uBWIE","mnfbaOudlikEs","dialect","RW",0,"male","transparent","2017-04-27 18:13:34","2017-04-27 19:01:10",37,"m",5,5,4
"116",116,"SCRIPT","","kbfisOdEmnlua","standard","WR",1,"male","transparent","2017-04-27 18:18:29","0000-00-00 00:00:00",28,"m",3,0,0
"117",117,"END","00117HBJUj","findOuEmalbsk","dialect","WR",1,"male","transparent","2017-04-27 18:33:01","2017-04-27 19:21:30",29,"m",5,5,5
"118",118,"END","00118wqTpN","ksaldibEnfOmu","standard","WR",0,"male","transparent","2017-04-27 18:46:17","2017-04-27 19:21:20",24,"m",5,3,5
"119",119,"DEMOGRAPHICS","","OlfEibmdnkuas","dialect","WR",0,"male","transparent","2017-04-27 19:03:52","0000-00-00 00:00:00",0,"",0,0,0
"120",120,"R_TR1","","ldankmsfEOubi","standard","RW",1,"female","transparent","2017-04-27 19:05:28","0000-00-00 00:00:00",43,"m",5,0,0
"121",121,"END","00121eXBNi","nkOliuaEbsdmf","dialect","RW",1,"female","transparent","2017-04-27 19:12:40","2017-04-27 21:00:33",29,"f",5,5,5
"122",122,"END","00122emXPU","uEisbadkOfmnl","standard","RW",0,"female","transparent","2017-04-27 19:20:07","2017-04-27 20:27:07",32,"m",5,4,5
"123",123,"END","00123XUxGw","sanbdlufikEOm","dialect","RW",0,"female","transparent","2017-04-27 19:39:29","2017-04-27 20:42:37",59,"f",5,5,5
"124",124,"SCRIPT","","nisblamkuEdOf","standard","WR",1,"female","transparent","2017-04-27 19:40:17","0000-00-00 00:00:00",54,"m",5,0,0
"125",125,"END","00125GSCFf","nEfdbOsakmuli","dialect","WR",1,"female","transparent","2017-04-27 19:49:06","2017-04-27 21:03:34",30,"m",5,5,5
"126",126,"EXPOSURE1","","bnOslEdikaufm","standard","WR",0,"female","transparent","2017-04-27 19:57:28","0000-00-00 00:00:00",30,"m",5,0,0
