"input_id","session_number","language","self_rating"
"128","118","English","5"
"129","120","English","5"
"130","122","English","5"
"131","121","English","5"
"132","121","Spanish","2"
"133","121","Mandarin","1"
"134","123","English","5"
"135","124","English","5"
"136","125","English","5"
"137","125","english","5"
"138","125","spanish","5"
"139","126","English","5"
"140","126","english","5"
"141","126","spanish","5"
"142","127","English","5"
"143","128","English","5"
"144","129","English","5"
"145","130","English","4"
"146","132","English","5"
"147","133","English","5"
"148","134","English","5"
"149","134","French","3"
"150","134","Spanish ","1"
"151","134","German","1"
"152","135","English","5"
"153","135","none","1"
"154","136","English","5"
"155","138","English","5"
"156","139","English","5"
"157","141","English","5"
"158","142","English","5"
"159","143","English","5"
"160","144","English","5"
"161","146","English","1"
"162","147","English","5"
"163","147","spanish","1"
"164","148","English","5"
"165","149","English","5"
"166","150","English","5"
"167","151","English","5"
"168","152","English","5"
"169","153","English","5"
"170","154","English","5"
"171","155","English","5"
"172","157","English","5"
"173","158","English","5"
"174","159","English","5"
"175","160","English","5"
"176","161","English","5"
"177","162","English","5"
"178","163","English","5"
"179","164","English","5"
"180","165","English","5"
"181","166","English","5"
"182","166","French","1"
"183","167","English","5"
"184","168","English","5"
"185","168","English","5"
"186","169","English","5"
"187","170","English","5"
"188","171","English","3"
"189","171","hindi","4"
"190","172","English","5"
"191","174","English","5"
"192","175","English","5"
"193","176","English","5"
"194","177","English","5"
"195","177","French","3"
"196","177","Japanese","2"
"197","178","English","5"
"198","178","Gujarati","5"
"199","178","Hindi","4"
"200","179","English","5"
"201","180","English","5"
"202","181","English","4"
"203","181","Hindi","5"
"204","182","English","5"
"205","184","English","5"
"206","185","English","5"
"207","186","English","5"
"208","187","English","5"
"209","188","English","5"
"210","189","English","5"
"211","190","English","5"
"212","191","English","5"
"213","192","English","5"
"214","194","English","5"
"215","194","Japanese","5"
"216","196","English","5"
"217","197","English","5"
"218","199","English","5"
"219","200","English","5"
"220","200","spanish","4"
"221","201","English","5"
"222","201","spanish","1"
"223","202","English","5"
"224","202","French","2"
"225","202","Spanish","4"
"226","203","English","5"
"227","203","tamil","5"
"228","204","English","5"
"229","205","English","3"
"230","206","English","5"
"231","207","English","5"
"232","208","English","5"
"233","209","English","3"
"234","209","Tamil","5"
"235","209","Telugu","3"
"236","209","Hindi","3"
"237","210","English","5"
"238","211","English","5"
"239","212","English","5"
"240","213","English","5"
"241","214","English","5"
"242","215","English","5"
"243","217","English","5"
"244","218","English","4"
"245","218","Malayalam","4"
"246","218","Hindi","4"
"247","218","Tamil","2"
"248","219","English","4"
"249","219","Hindi","4"
"250","220","English","5"
"251","221","English","5"
"252","222","English","5"
"253","223","English","5"
"254","224","English","5"
"255","225","English","5"
"256","227","English","5"
"257","228","English","5"
"258","228","German","3"
"259","229","English","5"
"260","231","English","5"
"261","232","English","4"
"262","232","Hindi","5"
"263","233","English","5"
"264","234","English","5"
"265","235","English","5"
"266","236","English","5"
"267","236","Spanish","4"
"268","237","English","4"
"269","237","TAMIL","5"
"270","237","MALAYALAM","4"
"271","237","ENGLISH","3"
"272","238","English","5"
"273","240","English","3"
"274","241","English","5"
"275","241","Spanish","3"
"276","242","English","5"
"277","243","English","5"
"278","245","English","5"
"279","245","Mandarin Chinese","2"
"280","245","Danish","3"
"281","245","Norwegian","1"
"282","245","Japanese","1"
"283","246","English","5"
"284","247","English","3"
"285","247","Hindi","4"
"286","247","Spanish","1"
"287","248","English","3"
"288","248","Gujarati","5"
"289","248","Hindi","4"
"290","249","English","3"
"291","249","Malayalam","4"
"292","249","Tamil","2"
"293","249","Hindi","1"
"294","250","English","5"
"295","250","Russian","1"
"296","251","English","5"
"297","251","French","1"
"298","252","English","5"
"299","253","English","5"
"300","254","English","4"
"301","255","English","5"
"302","256","English","5"
"303","257","English","5"
"304","258","English","5"
"305","258","German","3"
"306","259","English","5"
"307","260","English","5"
"308","261","English","5"
"309","262","English","5"
"310","263","English","5"
"311","264","English","5"
"312","265","English","5"
"313","265","Latin","1"
"314","266","English","5"
"315","266","Spanish","1"
"316","267","English","5"
"317","268","English","5"
"318","269","English","5"
"319","270","English","4"
"320","270","german","3"
"321","271","English","5"
"322","272","English","5"
"323","273","English","5"
"324","274","English","5"
"325","276","English","5"
"326","277","English","5"
"327","278","English","5"
"328","279","English","5"
"329","279","french","2"
"330","280","English","5"
"331","280","French","3"
"332","280","Japanese","2"
"333","281","English","3"
"334","281","tamil","4"
"335","283","English","4"
"336","283","hindi","5"
"337","284","English","5"
"338","285","English","5"
"339","286","English","5"
"340","287","English","5"
"341","288","English","5"
"342","290","English","5"
"343","291","English","4"
"344","292","English","5"
"345","293","English","5"
"346","294","English","5"
"347","295","English","4"
"348","295","Hindi","5"
"349","296","English","5"
"350","296","spanish","1"
"351","297","English","5"
"352","298","English","5"
"353","298","French","3"
"354","298","Spanish","1"
"355","299","English","5"
"356","299","Hindi","5"
"357","300","English","5"
"358","301","English","5"
"359","302","English","5"
"360","303","English","5"
"361","304","English","5"
"362","305","English","5"
"363","305","German","1"
"364","306","English","5"
"365","306","Spanish","4"
"366","307","English","5"
"367","308","English","5"
"368","309","English","5"
"369","310","English","5"
"370","311","English","5"
"371","312","English","5"
"372","314","English","5"
"373","314","Spanish","2"
"374","314","Welsh","1"
"375","314","Italian","2"
"376","315","English","5"
"377","315","Spanish","1"
"378","315","Japanese","1"
"379","316","English","5"
"380","317","English","5"
"381","317","Spanish","1"
"382","318","English","5"
"383","318","Spanish","1"
"384","319","English","4"
"385","320","English","5"
"386","321","English","5"
"387","321","Tamil","5"
"388","321","Hindi","5"
"389","321","Malayalam","5"
"390","321","Kannada","5"
"391","322","English","5"
"392","323","English","5"
"393","323","Spanish","3"
"394","324","English","5"
"395","325","English","5"
"396","326","English","5"
"397","327","English","4"
"398","327","Urdu","5"
"399","328","English","5"
"400","329","English","5"
"401","330","English","4"
"402","330","hindi","5"
"403","331","English","4"
"404","332","English","5"
"405","333","English","5"
"406","334","English","5"
"407","335","English","5"
"408","336","English","5"
"409","336","English","5"
"410","337","English","5"
"411","339","English","5"
"412","340","English","5"
"413","340","Homeric Greek","1"
"414","340","Japanese","1"
"415","341","English","5"
"416","341","Spanish","5"
"417","342","English","5"
"418","343","English","5"
"419","345","English","3"
"420","345","Indonesian","5"
"421","345","Javanese","5"
"422","346","English","5"
"423","347","English","5"
"424","347","Japanese","2"
"425","347","Korean","1"
"426","348","English","5"
"427","349","English","3"
"428","349","Tamil","5"
"429","350","English","5"
"430","351","English","5"
"431","352","English","5"
"432","353","English","5"
"433","354","English","5"
"434","355","English","2"
"435","356","English","5"
"436","356","english","5"
"437","356","tamil","5"
"438","356","french","5"
"439","356","malayalam","5"
"440","356","hindi","5"
"441","356","spanish","5"
"442","357","English","5"
"443","357","Tamil","5"
"444","359","English","4"
"445","359","Spanish","3"
"446","360","English","4"
"447","361","English","3"
"448","361","Spanish","3"
"449","362","English","5"
"450","363","English","5"
"451","364","English","5"
"452","367","English","5"
"453","367","Russian","2"
"454","367","Esperanto","2"
"455","371","English","4"
"456","371","Hindi","4"
"457","371","Tamil","4"
"458","373","English","5"
"459","374","English","5"
"460","375","English","5"
"461","377","English","5"
"462","378","English","5"
"463","379","English","5"
"464","381","English","5"
"465","382","English","5"
