"trial_id","timestamp","session_number","session_trial_id","section","section_trial_id","word_id","novel_word_for_task","exposure_count","picture_id","word_length","target","participant_input","correct","edit_distance"
"84","2018-01-10 11:25:41","1","186","W_TEST","24","32","1","11","211","5","smadu","smadu","1","0"
"85","2018-01-10 11:25:50","1","187","W_TEST","25","25","1","11","027","5","dasmu","dasmu","1","0"
"86","2018-01-10 11:26:00","1","188","W_TEST","26","16","0","1","088","4","dOlk","dOlk","1","0"
"87","2018-01-10 11:26:09","1","189","W_TEST","27","13","1","11","072","4","flOb","flOb","1","0"
"88","2018-01-10 11:26:19","1","190","W_TEST","28","33","0","1","077","5","klOda","klOda","1","0"
"89","2018-01-10 11:26:35","1","191","W_TEST","29","36","0","1","155","6","skOnEf","skOnEf","1","0"
"90","2018-01-10 11:26:44","1","192","W_TEST","30","5","1","11","167","3","nal","nal","1","0"
"91","2018-01-10 11:26:53","1","193","W_TEST","31","19","0","1","250","4","suld","suld","1","0"
"92","2018-01-10 11:27:05","1","194","W_TEST","32","38","1","11","241","6","fnibOl","snibOl","0","0.166667"
"93","2018-01-10 11:27:12","1","195","W_TEST","33","2","1","11","007","3","fub","fub","1","0"
"94","2018-01-10 11:27:23","1","196","W_TEST","34","34","1","11","185","5","flidu","flidu","1","0"
"95","2018-01-10 11:27:37","1","197","W_TEST","35","22","1","11","055","5","nOflE","nOflE","1","0"
"96","2018-01-10 11:27:44","1","198","W_TEST","36","6","1","11","006","3","lOm","lOm","1","0"
"97","2018-01-10 11:28:01","1","199","W_TEST","37","39","0","1","086","6","klusim","klusim","1","0"
"98","2018-01-10 11:28:07","1","200","W_TEST","38","4","1","11","179","3","mif","mif","1","0"
"99","2018-01-10 11:28:15","1","201","W_TEST","39","3","0","1","097","3","mab","mab","1","0"
"100","2018-01-10 11:28:28","1","202","W_TEST","40","9","1","11","083","4","fnOf","snOf","0","0.25"
"101","2018-01-10 11:28:39","1","203","W_TEST","41","28","0","1","162","5","luskO","luskO","1","0"
"102","2018-01-10 11:28:46","1","204","W_TEST","42","15","1","11","122","4","balf","balf","1","0"
"103","2018-02-07 11:36:43","2","11","W_TR1","1","26","0","2","179","5","kubnE","knblE","0","0.4"
"104","2018-02-07 11:37:17","2","12","W_TR1","2","27","0","2","022","5","bEsmi","bismi","0","0.2"
"105","2018-02-07 11:37:45","2","13","W_TR1","3","9","0","2","241","4","fnOf","suOf","0","0.5"
"106","2018-02-07 11:38:10","2","14","W_TR1","4","22","0","2","094","5","nOflE","nOfli","0","0.2"
"107","2018-02-07 11:38:47","2","15","W_TR1","5","34","0","2","047","5","flidu","fliEu","0","0.2"
"108","2018-02-07 11:39:11","2","16","W_TR1","6","4","0","2","250","3","mif","maf","0","0.333333"
"109","2018-02-07 11:39:41","2","17","W_TR1","7","40","0","2","097","6","flEsOd","fdisOE","0","0.5"
"110","2018-02-07 11:40:00","2","18","W_TR1","8","1","0","2","076","3","nEf","mif","0","0.666667"
"111","2018-02-07 11:40:26","2","19","W_TR1","9","18","0","2","237","4","fOns","fOnd","0","0.25"
"112","2018-02-07 11:40:28","4","11","W_TR1","1","18","0","2","081","4","fOns","fsnb","0","0.5"
"113","2018-02-07 11:40:51","4","12","W_TR1","2","41","0","2","076","6","fninab","flnis","0","0.666667"
"114","2018-02-07 11:41:07","4","13","W_TR1","3","1","0","2","097","3","nEf","nEf","1","0"
"115","2018-02-07 11:41:10","2","20","W_TR1","10","7","0","2","007","3","daf","daf","1","0"
"116","2018-02-07 11:41:25","4","14","W_TR1","4","34","0","2","155","5","flidu","flO","0","0.6"
"117","2018-02-07 11:41:45","4","15","W_TR1","5","35","0","2","242","5","fnOku","flku","0","0.4"
"118","2018-02-07 11:42:02","4","16","W_TR1","6","5","0","2","203","3","nal","Oal","0","0.333333"
"119","2018-02-07 11:42:30","4","17","W_TR1","7","20","0","2","211","4","nifs","nifs","1","0"
"120","2018-02-07 11:42:59","4","18","W_TR1","8","32","0","2","094","5","smadu","fmads","0","0.4"
"121","2018-02-07 11:43:17","4","19","W_TR1","9","10","0","2","072","4","bnim","bfu","0","0.75"
"122","2018-02-07 11:43:42","4","20","W_TR1","10","37","0","2","168","6","bnEkus","bfEks","0","0.333333"
"123","2018-02-07 11:47:25","4","31","W_TR2","1","8","0","3","167","4","fnid","fld","0","0.5"
"124","2018-02-07 11:47:35","2","31","W_TR2","1","8","0","3","086","4","fnid","fnid","1","0"
"125","2018-02-07 11:47:46","4","32","W_TR2","2","11","0","3","088","4","bnaf","blaf","0","0.25"
"126","2018-02-07 11:47:58","4","33","W_TR2","3","15","0","3","049","4","balf","baf","0","0.25"
"127","2018-02-07 11:48:10","2","32","W_TR2","2","21","0","3","228","4","nEsk","nisk","0","0.25"
"128","2018-02-07 11:48:13","4","34","W_TR2","4","4","0","3","236","3","mif","mif","1","0"
"129","2018-02-07 11:48:27","4","35","W_TR2","5","2","0","3","180","3","fub","fOb","0","0.333333"
"130","2018-02-07 11:48:33","2","33","W_TR2","3","32","0","3","104","5","smadu","smadu","1","0"
"131","2018-02-07 11:48:44","4","36","W_TR2","6","22","0","3","006","5","nOflE","nkfnE","0","0.4"
"132","2018-02-07 11:48:57","2","34","W_TR2","4","38","0","3","224","6","fnibOl","fnEbOl","0","0.166667"
