"participant_number"	"task"	"mean_nLED"	"sd_nLED"	"mean_correct"	"sd_correct"
"44"	73	"R"	0.2688775	0.14533027071891	0.0714285714285714	0.260661180215007
"45"	75	"R"	0.409920642857143	0.273045149286468	0.166666666666667	0.377195470232912
"46"	76	"R"	0.0440476190476191	0.0943398995511165	0.80952380952381	0.397436617931638
"47"	77	"R"	0.284693857142857	0.177465935805977	0.166666666666667	0.377195470232912
"48"	78	"R"	0.0734126904761905	0.115825001858984	0.666666666666667	0.477118723613698
"49"	80	"R"	0.107539666666667	0.150752468511062	0.619047619047619	0.49150743499232
"50"	84	"R"	0.0654761904761905	0.117412970545647	0.738095238095238	0.445000619869331
"51"	88	"R"	0.70249430952381	0.217514089935823	0	0
"52"	89	"R"	0.440986404761905	0.259178420754098	0.0952380952380952	0.297101757186175
"53"	90	"R"	0.750992047619048	0.187609046794963	0	0
"54"	91	"R"	0.155839	0.197242744588687	0.428571428571429	0.50087032267781
"55"	92	"R"	0.865795609756098	0.12792351700506	0	0
"56"	95	"R"	0.119047619047619	0.16838830417628	0.5	0.506060827347474
"57"	97	"R"	0.157142833333333	0.168491707790884	0.452380952380952	0.503760538950749
"58"	98	"R"	0.339342404761905	0.270484681045698	0.238095238095238	0.431080537409042
"59"	99	"R"	0.768310666666667	0.196163945400663	0.0238095238095238	0.154303349962092
"60"	100	"R"	0.0837301666666667	0.147356489128868	0.666666666666667	0.477118723613698
"61"	101	"R"	0.133049880952381	0.191505033649338	0.476190476190476	0.505486736604131
"62"	102	"R"	0.18134919047619	0.18146503378058	0.380952380952381	0.49150743499232
"63"	104	"R"	0.239625833333333	0.240822232035341	0.357142857142857	0.484965604585173
"64"	105	"R"	0.767951642857143	0.183350849362612	0	0
"65"	106	"R"	0.0587301666666667	0.145912613746842	0.761904761904762	0.431080537409043
"66"	108	"R"	0.473412690476191	0.345510889902255	0.142857142857143	0.354168801660573
"67"	111	"R"	0.6579365	0.317792983799759	0.0952380952380952	0.297101757186175
"68"	112	"R"	0.0952380952380952	0.163311177951758	0.642857142857143	0.484965604585173
"69"	113	"R"	0.417403595238095	0.331538433461051	0.166666666666667	0.377195470232912
"70"	114	"R"	0.148015880952381	0.193673726251917	0.452380952380952	0.503760538950749
"71"	116	"R"	0.478514761904762	0.233746920132762	0.119047619047619	0.327770067561568
"72"	117	"R"	0.505612261904762	0.255719317448439	0.119047619047619	0.327770067561568
"73"	119	"R"	0.152380976190476	0.19466362760745	0.5	0.506060827347474
"74"	122	"R"	0.6829365	0.29467927801903	0.0476190476190476	0.215540268704521
"75"	125	"R"	0.577154214285714	0.308846319618242	0.119047619047619	0.327770067561568
"76"	126	"R"	0.803571476190476	0.202943606534503	0	0
"77"	127	"R"	0.043254	0.0855446535633192	0.785714285714286	0.415299732236633
"78"	128	"R"	0.712301547619048	0.29229162771403	0.0714285714285714	0.260661180215007
"79"	130	"R"	0.861666625	0.141632724440705	0	0
"80"	131	"R"	0.055952380952381	0.140980943405172	0.785714285714286	0.415299732236633
"81"	132	"R"	0.891345428571429	0.134579571064336	0	0
"82"	133	"R"	0.304421738095238	0.281904280589158	0.238095238095238	0.431080537409043
"83"	134	"R"	0.425	0.235105096720802	0.0714285714285714	0.260661180215007
"84"	135	"R"	0.874603166666667	0.160716449156	0	0
"85"	136	"R"	0.0527777857142857	0.107881584895377	0.738095238095238	0.445000619869331
"86"	137	"R"	0.148665238095238	0.209013436535504	0.523809523809524	0.505486736604131
"87"	141	"R"	0.0710317142857143	0.131133182096097	0.69047619047619	0.467901138093333
"88"	145	"R"	0.732350738095238	0.247251128834244	0.0476190476190476	0.215540268704521
"89"	146	"R"	0.674187523809524	0.226909035175347	0.0238095238095238	0.154303349962092
"90"	149	"R"	0.259523785714286	0.207061732001569	0.285714285714286	0.457229956859212
